UPDATE; "update $table set join(, , $a) where $idcol = sqlq($cols[$idcol])"; NA; ""; ""; false
INSERT; "insert into $table set join(, , $a)"; NA; ", $a"; ""; false
UPDATE; "update $table set join(, , $a) where $idcol = $idcol"; NA; ""; ""; false
SELECT; "select length( $check_contents ) from $table where $idcol = $idcol"; NA; ", checkcontents"; "$idcol"; false
SELECT; "select paper, compression from PaperStorage where paperStorageId= paperStorageId"; PaperStorage; "paper, compression"; "paperStorageId"; true
SELECT; "select paperId, tagIndex from PaperTag where tag= sqlq($t)"; PaperTag; "paperid, tagindex"; "sqlq($t)"; false
SELECT; "select Paper.title, PaperReview.*, ContactInfo.firstName, ContactInfo.lastName, ContactInfo.email, conflictType, ContactReview.reviewType as myReviewType from PaperReview join Paper using (paperId) join ContactInfo on (ContactInfo.contactId=PaperReview.contactId) left join PaperConflict on (PaperConflict.contactId= contactId and PaperConflict.paperId=PaperReview.paperId) left join PaperReview as ContactReview on (ContactReview.contactId= contactId and ContactReview.paperId=PaperReview.paperId) where PaperReview.paperId= paperId order by reviewOrdinal"; PaperConflict; "papertitle, paperreview, contactinfofirstname, contactinfolastname, contactinfoemail, conflicttype, contactreviewreviewtype"; "paperId"; true
SELECT; "select R.paperId, P.title from PaperReview R join Paper P using (paperId) where R.contactId= contactId and R.timeRequested>R.timeRequestNotified and R.reviewSubmitted is null and R.reviewNeedsSubmit!=0 order by R.paperId"; PaperReview; "rpaperid, ptitle"; "contactId"; true
SELECT; "select u.contactId, firstName, lastName, email, preferredEmail, password $qa , conflictType, 0 myReviewType from ContactInfo u join PaperConflict using (contactId) where paperId= paperId and conflictType>= CONFLICT_AUTHOR group by u.contactId"; PaperConflict; "ucontactid, firstname, lastname, email, preferredemail, password, qa, , conflicttype, 0, myreviewtype"; "paperId"; true
SELECT; "select u.contactId, firstName, lastName, email, preferredEmail, password $qa , conflictType, reviewType myReviewType from ContactInfo u join PaperReview on (PaperReview.contactId=u.contactId and PaperReview.paperId= paperId ) left join PaperConflict on (PaperConflict.contactId=u.contactId and PaperConflict.paperId= paperId ) group by u.contactId"; PaperConflict; "ucontactid, firstname, lastname, email, preferredemail, password, qa, , conflicttype, reviewtype, myreviewtype"; ""; true
UPDATE; "update Paper set outcome= $o where paperId= paperId"; Paper; "outcome"; "$o"; true
INSERT; "insert into PaperReviewPreference (paperId, contactId, preference) values ( paperId , $contactId , $v ) on duplicate key update preference=values(preference)"; PaperReviewPreference; "paperid, contactid, preference"; "paperId, $contactId, $v"; true
INSERT; "insert into PaperTag (paperId, tag, tagIndex) values ( paperId , sqlq($mytag) , $rank ) on duplicate key update tagIndex=values(tagIndex)"; PaperTag; "paperid, tag, tagindex"; "paperId, sqlq($mytag), $rank"; false
SELECT; "select Paper.paperId, title, tagIndex from Paper join PaperTag on (PaperTag.paperId=Paper.paperId and PaperTag.tag= sqlq($Me->contactId . ~ . $tag) ) order by tagIndex, Paper.paperId"; Paper; "paperpaperid, title, tagindex"; ""; false
UPDATE; "update Paper set $field = $contactId where paperId= paperId"; Paper; "title"; "$field, $contactId"; false
SELECT; "select tag, sum(tagIndex) from PaperTag where tag in ( $q ) group by tag"; PaperTag; "tag, tagindex"; "$q"; false
SELECT; "select paperId, reviewType, reviewId, reviewModified, reviewSubmitted, reviewNeedsSubmit, reviewOrdinal, contactId reviewContactId, requestedBy, reviewToken, reviewRound, 0 conflictType from PaperReview where paperId in ( join(, , array_keys($by_pid)) ) and contactId= reviewerContact"; PaperReview; "paperid, reviewtype, reviewid, reviewmodified, reviewsubmitted, reviewneedssubmit, reviewordinal, contactid, reviewcontactid, requestedby, reviewtoken, reviewround, 0, conflicttype"; "array_keys($by_pid), reviewerContact"; true
SELECT; "select optionId, value, data from PaperOption where paperId= paperId"; PaperOption; "optionid, value, data"; "paperId"; false
SELECT; "select tag, sum(tagIndex) from $table where tag in ( $q ) group by tag"; NA; "tag, tagindex"; "$q"; false
SELECT; "select max(tagIndex) from $table where tag= sqlq($base)"; NA; "tagindex"; "sqlq($base)"; false
SELECT; "select $pidcol , tag, tagIndex from $table where substr($q, 0, strlen($q) - 4) order by tagIndex"; NA; "pidcol, , tag, tagindex"; "strlen($q)"; false
