,pathid,vulnerability,nodeid,filename,linenumber,code
0,1,XSS,21197,admin/configuration.php,30,"$HTTP_GET_VARS[""gID""]"
1,1,XSS,21199,admin/configuration.php,30,"$HTTP_GET_VARS[""gID""]"
2,1,XSS,21415,admin/configuration.php,84,"$HTTP_GET_VARS[""gID""]"
3,1,XSS,21437,admin/configuration.php,86,"$HTTP_GET_VARS[""gID""]"
4,1,XSS,21489,admin/configuration.php,91,"$HTTP_GET_VARS[""gID""]"
5,1,XSS,21487,admin/configuration.php,91,"""gID="" . $HTTP_GET_VARS[""gID""]"
6,1,XSS,21486,admin/configuration.php,91,"""gID="" . $HTTP_GET_VARS[""gID""] . ""&cID="""
7,1,XSS,21492,admin/configuration.php,91,"$configuration[""configuration_id""]"
8,1,XSS,21461,admin/configuration.php,91,"$configuration[""configuration_id""]"
9,1,XSS,21440,admin/configuration.php,86,"$configuration[""configuration_id""]"
10,1,XSS,21396,admin/configuration.php,83,"$configuration[""configuration_id""]"
11,1,XSS,21352,admin/configuration.php,75,"$configuration[""configuration_id""]"
12,1,XSS,21022,admin/configuration.php,67,$configuration
13,1,XSS,21324,admin/configuration.php,67,"$configuration[""configuration_value""]"
14,1,XSS,21007,admin/configuration.php,59,$configuration
15,1,XSS,21280,admin/configuration.php,59,"$configuration[""use_function""]"
16,1,XSS,21284,admin/configuration.php,60,"$configuration[""use_function""]"
17,1,XSS,21008,admin/configuration.php,60,$use_function
18,1,XSS,21011,admin/configuration.php,61,$use_function
19,1,XSS,21014,admin/configuration.php,62,$use_function
20,1,XSS,21291,admin/configuration.php,62,"explode(""->"",$use_function)"
21,1,XSS,21012,admin/configuration.php,62,$class_method
22,1,XSS,21021,admin/configuration.php,67,$class_method
23,1,XSS,21322,admin/configuration.php,67,$class_method[1]
24,1,XSS,21023,admin/configuration.php,67,$class_method
25,1,XSS,21326,admin/configuration.php,67,$$class_method[0]
26,1,XSS,21296,admin/configuration.php,63,$$class_method[0]
27,1,XSS,21305,admin/configuration.php,64,$class_method[0]
28,1,XSS,21302,admin/configuration.php,64,DIR_WS_CLASSES
29,1,XSS,21502,admin/configuration.php,91,<global>
30,1,XSS,21501,admin/configuration.php,91,IMAGE_ICON_INFO
31,1,XSS,21408,admin/configuration.php,84,<global>
32,1,XSS,21407,admin/configuration.php,84,FILENAME_CONFIGURATION
33,1,XSS,21406,admin/configuration.php,84,"tep_href_link(FILENAME_CONFIGURATION,""gID="" . $HTTP_GET_VARS[""gID""] . ""&cID="" . $cInfo->configuration_id . ""&action=edit"")"
