SELECT; "select * from tableName where 1=1 $cond"; NA; ""; "$cond"; false
SELECT; "select * from tableName where $col = addslashes($value)"; NA; ""; "$col, addslashes($value)"; false
SELECT; "select * from tableName t where t.user_id= $userId and t.alert_time>= addslashes($fromTime . 00:00:00) r and t.alert_time<= addslashes($toTime . 23:59:59)"; NA; ""; "$userId"; false
UPDATE; "UPDATE tableName SET visited=1 WHERE visited=0 and user_id= $userId"; NA; ""; ""; false
SELECT; "SELECT count(*) count FROM tableName WHERE visited=0 and user_id= $userId"; NA; ", count"; "$userId"; false
SELECT; "select k.id, k.source_name, r.website_id, $analyticsCols from analytic_sources k, website_analytics r where k.id=r.source_id $conditions and r.report_date= $toTime order by addslashes($orderCol) addslashes($orderVal)"; NA; "kid, ksourcename, rwebsiteid, analyticscols"; "$conditions, $toTime, addslashes($orderCol)"; false
SELECT; "select k.id, k.source_name, r.website_id, $analyticsCols from analytic_sources k, website_analytics r where k.id=r.source_id $conditions and r.report_date= $fromTime"; NA; "kid, ksourcename, rwebsiteid, analyticscols"; "$conditions, $fromTime"; false
SELECT; "select * from analytic_sources where id in (select distinct source_id from website_analytics where website_id= $websiteId ) order by source_name"; NA; ""; "$websiteId"; false
SELECT; "select s.* from website_analytics s where report_date>= $fromTimeDate and report_date<= $toTimeDate $conditions order by s.report_date"; NA; "s"; "$fromTimeDate, $toTimeDate, $conditions"; false
SELECT; "select s.* from website_analytics s where report_date>= $fromTimeDate and report_date<= $toTimeDate $conditions order by s.report_date"; NA; "s"; "$fromTimeDate, $toTimeDate, $conditions"; false
INSERT; "insert into backlinkresults(website_id, google, alexa, msn, result_date)r values( $matchInfo[id] , $matchInfo[google] , $matchInfo[alexa] , $matchInfo[msn] , $resultDate )"; NA; "website_id, google, alexa, msn, result_date"; "$matchInfo["id"], $matchInfo["google"], $matchInfo["alexa"], $matchInfo["msn"], $resultDate"; false
SELECT; "select website_id from backlinkresults where website_id= $websiteId and result_date= $resultDate"; NA; "websiteid"; "$websiteId, $resultDate"; false
SELECT; "select s.* , w.name from backlinkresults s, websites w where s.website_id=w.idr and result_date >= $fromTime and result_date <= $toTime $conditions order by result_date"; NA; "s, , wname"; "$fromTime, $toTime, $conditions"; false
SELECT; "select s.* , w.namer from backlinkresults s, websites w r where s.website_id=w.id r and s.website_id= $websiteId r and (result_date= $fromTimeLabel or result_date= $toTimeLabel )r order by result_date DESCr Limit 0, 2"; NA; "s, , wnamer"; "$websiteId, $fromTimeLabel, $toTimeLabel"; false
SELECT; "select s.* , w.name from backlinkresults s, websites w where s.website_id=w.idr and result_date >= $fromTime and result_date <= $toTime $conditions order by result_date"; NA; "s, , wname"; "$fromTime, $toTime, $conditions"; false
INSERT; "insert into auditorreports( implode(, , $reportKeys) , updated) values( implode(, , $reportValues) , $dateTime )"; NA; "implode, (, , $reportkeys"; "$reportValues, $dateTime"; false
UPDATE; "update auditorreports set page_url= $effectiveUrl where id= $reportId"; NA; ""; "$effectiveUrl"; false
SELECT; "SELECT * FROM auditorreports where 1=1 $where"; NA; ""; "$where"; false
INSERT; "insert into auditorpagelinks( implode(, , $linkKeys) ) values( implode(, , $linkValues) )"; NA; "implode, (, , $linkkeys"; "$linkValues"; false
UPDATE; "update auditorreports set score= $score where id= $reportId"; NA; ""; "$score"; false
SELECT; "select sum(score)/count(*) as avgscore from auditorreports where crawled=1 and project_id= $projectId"; NA; "sumscore"; "$projectId"; false
UPDATE; "update auditorprojects set score= $score where id= $projectId"; NA; ""; "$score"; false
SELECT; "select * from auditorpagelinks where report_id= $reportId"; NA; ""; "$reportId"; false
SELECT; "select $col , count(*) as count from auditorreports where project_id= $projectId and $col != $crawled group by $col having count>1"; NA; "col, "; "$projectId, $col, $crawled"; false
SELECT; "SELECT $cols FROM auditorreports where 1=1 $where"; NA; "cols"; "$where"; false
SELECT; "select * from country where country_code= $countryCode"; NA; ""; "$countryCode"; false
INSERT; "INSERT INTO tablName ( implode(, , array_keys($crawlInfo)) , crawl_time)"; NA; "implode, (, , array_keys, $crawlinfo"; ""; false
UPDATE; "update tablName set"; NA; ""; ""; false
SELECT; "select t.*, k.name keyword from tablName t left join keywords k on t.ref_id=k.id where 1=1"; NA; "t, kname, keyword"; ""; false
SELECT; "select distinct crawl_type from tablName"; NA; "distinct, crawltype"; ""; false
SELECT; "select distinct proxy_id, proxy, port from tablName t, proxylist pl r where pl.id=t.proxy_id and t.proxy_id!=0"; NA; "distinct, proxyid, proxy, port"; ""; false
SELECT; "select * from crawl_log where id= intval($logId)"; NA; ""; "intval($logId)"; false
SELECT; "select * from mail_logs where id= intval($logId)"; NA; ""; "intval($logId)"; false
INSERT; "INSERT INTO mail_logs( implode(, , array_keys($mailInfo)) )"; NA; "implode, (, , array_keys, $mailinfo"; ""; false
SELECT; "select * from websites where status=1 and user_id= $userInfo[id] and crawled=0 order by name"; NA; ""; ""; false
UPDATE; "update websites set crawled=1 where id= $websiteInfo[id]"; NA; ""; ""; false
